Screen_Time_Per_Day,Sleep_Duration,Social_Media_Usage,Physical_Activity,Mood_Score,Workload_Stress_Score,Eating_Habit,Mental_Health_Risk,Suggested_Tip
6.7,6.3,136,3.5,10,3,Skipped,No,Maintain your current healthy habits.
8.1,6.4,129,2.1,8,8,Balanced,Yes,Consider speaking to a counselor or mental health expert.
5.3,6.7,221,3,10,3,Irregular,No,Continue staying socially connected.
5.4,6.7,160,3,5,3,Balanced,No,Continue staying socially connected.
5.2,8.8,118,2.4,4,7,Skipped,No,Maintain your current healthy habits.
5.6,7.9,64,3.4,1,4,Skipped,Yes,Consider speaking to a counselor or mental health expert.
6.8,5.7,83,1.7,,10,Skipped,Yes,Spend more time with friends and family.
6.3,3.9,299,2,8,7,Skipped,Yes,Incorporate physical activity into your routine.
6.8,6.5,242,1.5,5,8,Balanced,Yes,Spend more time with friends and family.
4.9,4.9,70,2.1,1,9,Balanced,Yes,Establish a consistent sleep routine.
6.9,7.6,192,3.5,10,7,Balanced,No,Maintain your current healthy habits.
8,7.3,230,3.2,8,2,Skipped,Yes,Establish a consistent sleep routine.
5.6,5.6,91,4.2,8,6,Skipped,No,Stay active and eat well.
4.7,6.4,130,4,3,1,Balanced,Yes,Incorporate physical activity into your routine.
4.6,7.4,236,2.6,3,7,Skipped,Yes,Limit social media usage.
5.9,9.7,251,2,5,7,Balanced,No,Continue staying socially connected.
7.3,9.2,58,2.2,2,10,Skipped,Yes,Incorporate physical activity into your routine.
5.2,7.1,163,4.2,4,10,Irregular,Yes,Limit social media usage.
5.5,5.5,219,2.7,9,4,Balanced,No,Continue staying socially connected.
5.4,4.9,227,2,8,9,Irregular,Yes,Spend more time with friends and family.
8.9,6.3,263,3.5,6,8,Balanced,Yes,Incorporate physical activity into your routine.
5.8,5.4,81,4.4,7,2,Balanced,Yes,Limit social media usage.
4.9,7,110,2.6,1,1,Irregular,Yes,Practice mindfulness or meditation daily.
5.9,5.8,201,,10,6,Irregular,No,Maintain your current healthy habits.
7.2,5.1,232,1.7,6,8,Skipped,Yes,Incorporate physical activity into your routine.
5,6.9,269,3,1,9,Skipped,Yes,Spend more time with friends and family.
4.5,5.8,288,4.7,3,10,Irregular,Yes,Spend more time with friends and family.
7.3,4.6,228,3.1,4,9,Skipped,Yes,Limit social media usage.
4.6,8.4,158,4.2,2,7,Skipped,Yes,Practice mindfulness or meditation daily.
7.3,8.7,292,3.4,10,9,Irregular,Yes,Practice mindfulness or meditation daily.
3.4,6.6,283,1.6,3,3,Balanced,Yes,Consider speaking to a counselor or mental health expert.
7.8,7.1,181,3.3,6,8,Balanced,Yes,Spend more time with friends and family.
7.3,8.6,141,3.3,2,2,Skipped,Yes,Establish a consistent sleep routine.
4.9,3,198,2.2,4,1,Irregular,Yes,Spend more time with friends and family.
6,6,164,2,3,6,Balanced,Yes,Spend more time with friends and family.
7.7,5.4,67,2.2,6,3,Irregular,Yes,Limit social media usage.
6.4,7.5,255,4.3,1,5,Irregular,Yes,Consider speaking to a counselor or mental health expert.
4,6.5,33,1.4,3,1,Irregular,Yes,Establish a consistent sleep routine.
3.3,6.2,35,2.9,5,3,Irregular,No,Keep a balance between work and rest.
7.1,5.4,190,2.4,3,2,Balanced,Yes,Consider speaking to a counselor or mental health expert.
7.1,6.6,87,3.6,7,2,Irregular,Yes,Consider speaking to a counselor or mental health expert.
4.4,5.5,133,2,1,,Skipped,Yes,Consider speaking to a counselor or mental health expert.
4.6,8.2,199,3.5,9,8,Balanced,Yes,Practice mindfulness or meditation daily.
6.8,6.5,65,3.9,4,1,Skipped,No,Continue staying socially connected.
5.8,5.7,171,2.7,2,2,Skipped,Yes,Consider speaking to a counselor or mental health expert.
7.1,8.8,,2.3,9,10,Balanced,Yes,Establish a consistent sleep routine.
3.3,6.9,87,2.5,5,1,Irregular,No,Stay active and eat well.
7.6,5.9,137,3.8,5,7,Irregular,Yes,Consider speaking to a counselor or mental health expert.
9.6,8.7,173,3,3,1,Skipped,Yes,Practice mindfulness or meditation daily.
6.7,4.9,87,1,7,10,Balanced,Yes,Consider speaking to a counselor or mental health expert.
6.8,7.5,158,2.7,2,6,Irregular,Yes,Spend more time with friends and family.
5.5,7.6,218,4.3,7,5,Balanced,No,Maintain your current healthy habits.
4,8.7,105,1.8,6,9,Irregular,Yes,Incorporate physical activity into your routine.
6.3,5.7,76,2.7,1,4,Irregular,Yes,Spend more time with friends and family.
7,7.2,129,2.7,7,10,Balanced,Yes,Practice mindfulness or meditation daily.
4.1,8.4,209,4.3,10,10,Skipped,Yes,Limit social media usage.
6,7.4,33,3.6,2,1,Balanced,Yes,Consider speaking to a counselor or mental health expert.
6.2,6.9,181,3.9,2,3,Irregular,Yes,Incorporate physical activity into your routine.
5.1,9,208,3.4,1,1,Skipped,Yes,Incorporate physical activity into your routine.
7.7,5.1,41,3.6,2,3,Balanced,Yes,Limit social media usage.
3.7,7.8,119,3.9,10,2,Balanced,No,Continue staying socially connected.
5.3,6.5,143,1.3,8,4,Skipped,No,Keep a balance between work and rest.
